102,106,135,143,144a,144b,145,146
kWh,kWh - Přetoky do sítě,kWh,kWh,kWh,kWh,kWh,kWh
,,,,,,,
0,0,0,37,14.5848,116.99505,0,0
0,0,0,40.375,14.3376,120.0803625,0,0
0,0,0,43,14.5848,121.191075,0,0
0,0,0,41.375,14.4612,120.8208375,0,0
0,0,0,40.75,14.4612,117.6121125,0,0
0,0,0,41.625,14.4612,119.216475,0,0
0,0,0,45.125,14.4612,121.0676625,0,0
0,0,0,44.625,14.5848,120.8208375,0,0
0,0,0,42.875,14.3376,118.3525875,0,0
0,0,0,43,14.4612,119.5867125,0,0
0,0,0,43.375,12.6072,120.3271875,0,0
0,0,0,45.75,10.7532,120.8208375,0,0
0,0,0,44.25,10.8768,117.98235,0,0
0,0,0,44.625,10.7532,120.203775,0,0
0,0,0,45,10.7532,120.203775,0,0
0,0,0,43.875,10.8768,120.8208375,0,0
0,0,0,45.875,10.7532,118.1057625,0,0
0,0,0,46.625,10.7532,119.8335375,0,0
0,0,0,47.75,10.8768,119.95695,0,0
0,0,0,46.375,10.7532,120.94425,0,0
0,0,0,46.75,10.7532,117.735525,0,0
0,0,0,49,10.7532,120.94425,0,0
0,0,0,49.375,10.8768,119.3398875,0,0
0,0,0,48.25,10.7532,120.5740125,0,0
0,0.0025,0,44.875,10.7532,118.229175,0,0
0,0,0,45.75,10.8768,121.0676625,0,0
0,0,0,47.625,10.7532,120.203775,0,0
0,0,0,46.875,10.7532,119.95695,0,0
0,0,0,47.125,10.8768,117.98235,0,0
0,0,0,45.25,10.7532,121.191075,0,0
0,0,0,48,10.7532,120.0803625,0,0
0,0,0,48.375,10.8768,119.5867125,0,0
0,0,0,48.125,10.7532,117.3652875,0,0
0,0,0,47.875,10.8768,120.94425,0,0
0,0,0,49,10.7532,120.203775,0,0
0,0,0,49.25,10.8768,119.3398875,0,0
0,0,0,48.125,10.7532,116.1311625,0,0
0,0,0,48,10.8768,120.8208375,0,0
0,0,0,47.625,10.7532,121.3144875,0,0
0,0,0,46.375,10.7532,118.722825,0,0
0,0,0,46.75,10.8768,117.241875,0,0
0,0,0,46.125,10.8768,121.191075,0,0
0,0,0,46.75,10.7532,121.3144875,0,0
0,0,0,44.5,10.8768,119.8335375,0,0
0,0,0,43.875,10.7532,117.241875,0,0
0,0,0,46.625,10.7532,121.4379,0,0
0,0,0,44.875,10.8768,121.0676625,0,0
0,0,0,43.25,10.8768,119.3398875,0,0
0,0,0,41.25,10.7532,115.8843375,0,0
0,0,0,42.75,10.7532,120.8208375,0,0
0,0,0,40.75,10.8768,120.8208375,0,0
0,0,0,37.625,10.7532,118.96965,0,0
0,0,0,38.125,10.8768,114.8970375,0,0
0,0,0,32.5,10.8768,120.5740125,0,0
0,0,0,31.375,6.4272,78.3669375,0,0
0.00078166,0.0025,0.000550759,27.125,10.8768,89.2272375,0,0
0.00565336,0,0.000550759,56,13.596,56.1526875,0,0.125
0.00634714,0,0.000550759,33.875,18.2928,76.8859875,0,0
0.01871678,0,0.000550759,56.375,18.0456,116.1311625,0.125,0.125
0.167824,0,0.16981042,55.25,18.2928,116.3779875,0,0.25
0.44056935,0,0.16981042,56,18.0456,114.03315,0.125,0.125
0.54424727,0,0.16981042,56.875,18.2928,117.6121125,0.125,0.375
0.84924052,0,0.16981042,57,18.0456,118.229175,0.125,0.25
0.93585662,0,0.098959822,54.75,18.2928,117.3652875,0.25,0.375
0.43512935,0,0.098959822,55.75,18.0456,114.1565625,0.125,0.5
0.10002182,0,0.098959822,56.125,12.978,117.1184625,0.25,0.375
0.09577226,0,0.098959822,56.875,17.5512,119.4633,0.5,0.5
0.12760686,0,0.08323866,54.75,17.5512,118.1057625,0.125,0.625
0.22929247,0,0.08323866,55.625,17.5512,116.5014,0.375,0.625
0.22043657,0,0.08323866,55.125,17.6748,118.229175,0.25,0.75
0.34659158,0,0.08323866,55.25,14.9556,120.203775,0.375,0.75
0.67350026,0,0.323217338,55.875,13.9668,119.95695,0.375,0.875
0.58642494,0,0.323217338,56.125,13.7196,115.6375125,0.25,0.75
1.24445299,0,0.323217338,55.875,13.9668,117.735525,0.375,1
0.9769039,0,0.323217338,54,13.8432,119.710125,0.375,1
0.290224,0,0.088861416,52.5,12.6072,119.710125,0.375,1
0.22671377,0,0.088861416,56.625,13.8432,117.3652875,0.25,1
0.21561475,0,0.088861416,55.5,13.9668,119.0930625,0.25,1.125
0.21856083,0,0.088861416,54.625,13.8432,119.0930625,0.25,1
0.64555844,0,0.37998029,55,13.8432,119.3398875,0.25,0.75
1.06726442,0,0.37998029,55.25,13.9668,117.241875,0.125,0.625
0.98499325,0,0.37998029,56.25,13.8432,118.5994125,0,0.125
0.90480623,0,0.37998029,55.75,14.7084,120.0803625,0,0.125
0.78300675,0,0.334278311,55.75,17.4276,120.3271875,0,0.25
0.64025974,0,0.334278311,56.25,17.6748,118.3525875,0,0
0.23328416,0,0.334278311,57,17.4276,120.4506,0,0
0.0957546,0,0.334278311,56.5,17.6748,119.4633,0,0.125
0,0,0,54.25,17.4276,121.3144875,0,0
0,0,0,56,17.6748,118.476,0,0
0,0,0,55.875,17.4276,121.5613125,0,0
0,0,0,55,17.6748,120.4506,0,0
0,0,0,56.25,17.4276,120.0803625,0,0
0,0,0,55.75,17.6748,118.476,0,0
0,0,0,54.625,17.5512,121.3144875,0,0
0,0,0,54,17.4276,120.0803625,0,0
0,0,0,56.5,17.6748,119.95695,0,0
0,0,0,55.875,17.4276,118.3525875,0,0
0,0,0,54.375,17.6748,121.5613125,0,0
0,0,0,54.25,16.4388,120.8208375,0,0
0,0,0,56.625,14.4612,119.8335375,0,0
0,0,0,56.625,14.4612,118.476,0,0
0,0,0,55.5,14.4612,121.5613125,0,0
0,0,0,53.625,14.5848,121.684725,0,0
0,0,0,54.125,14.3376,119.3398875,0,0
0,0,0,56,14.5848,118.3525875,0,0
